,Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
540,Computing Research Association,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,0,0,300000
541,Computing Research Association,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,0,0
542,Computing Research Association,Schools,School of Optometry,Null,Not for Profit,0,0,0
543,"Conagen, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,8000,0,0
544,Concord Consortium,Schools,Graduate School of Education,School of Education,Not for Profit,0,0,227436
545,ConnectEd,Schools,Graduate School of Education,Null,Not for Profit,250000,0,0
546,ConocoPhillips Company (Merger of Conoco & Phillips Petroleum),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,160000,0,0
547,Conrad N. Hilton Foundation,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,0,0,630000
548,Consortium for Ocean Leadership,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,0,0,0
549,Consortium of Univs for Research in Earthquake Eng (CUREE),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,9978,0,0
550,Consultative Group on International Agricultural Research,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,0,235176,0
551,Continental Automotive Systems,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,0,0,164000
552,Continental Automotive Systems,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,250000
553,Contra Costa County,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,0,8500,0
554,Contra Costa County,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Non Federal Governmental,0,0,125000
555,Contra Costa Regional Health Foundation,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Not for Profit,45331,0,0
556,"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Industry,38000,0,0
557,"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Schools,School of Optometry,Null,Industry,0,166150,806
558,"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Schools,School of Optometry,Null,Industry,0,0,0
559,Cooperative Ecosystem Studies Units,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Non Federal Governmental,0,195000,0
560,Cooperative Ecosystem Studies Units,Vice Chancellor - Research,VC Research Museums & Field Stations,University/Jepson Herbaria,Non Federal Governmental,0,0,19545
561,Coriell Institute for Medical Research,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,0,0
562,Coriell Institute for Medical Research,Colleges,College of Engineering,Bioengineering,Not for Profit,0,0,0
563,Coriell Institute for Medical Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
564,Coriell Institute for Medical Research,Schools,School of Public Health,Null,Not for Profit,0,0,0
565,Coriell Institute for Medical Research,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,0,0,0
566,Cork Institute of Technology,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,0,13607,0
567,Cornell University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,-146250,0
568,Cornell University,Colleges,Chemistry Department,Chemistry Department,Not for Profit,0,0,0
569,Cornell University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,0,535864,0
570,Cornell University,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,0,0,492375
571,Cornell University,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,0,0,116069
572,Cornell University,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,44487,0,-15032
573,Cornell University,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,2999255
574,Cornell University,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,-15812,0
575,Cornell University,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,40000
576,Cornell University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,0,0,0
577,Cotton Inc.,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Not for Profit,30000,30000,0
578,Council on Library and Information Resources,Vice Chancellor - Research,VC Research Museums & Field Stations,MVZ Museum of Vertebrate Zoology,Not for Profit,0,0,0
579,County of Los Angeles Office of the County Counsel,Schools,School of Law,Boalt Law School,Non Federal Governmental,0,201264,0
580,County of Marin,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Non Federal Governmental,0,0,10000
581,"Cray Research, Inc.",L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Industry,0,0,999000
582,Creative Work Fund,Vice Chancellor - Research,VC Research Museums & Field Stations,Botanical Garden,Not for Profit,0,40000,0
583,Creekside Center for Earth Observation,Vice Chancellor - Research,VC Research Museums & Field Stations,Botanical Garden,Industry,11200,0,0
584,Croucher Foundation,Colleges,Chemistry Department,Chemistry Department,Not for Profit,0,0,30000
585,Croucher Foundation,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,15000
586,"CymaBay Therapeutics, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Industry,0,0,0
587,DA ARO Army Research Office,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,162110,149394,0
588,DA ARO Army Research Office,Colleges,Chemistry Department,Chemistry Department,Federal,240587,4396836,648725
589,DA ARO Army Research Office,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,0,0,77650
590,DA ARO Army Research Office,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,20000,0,50000
591,DA ARO Army Research Office,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,577500,237500,0
592,DA ARO Army Research Office,Colleges,College of Engineering,Mechanical Engineering,Federal,0,0,90000
593,DA ARO Army Research Office,Colleges,College of Engineering,MSE Materials Science & Engineering,Federal,0,400000,200000
594,DA ARO Army Research Office,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,0,0,0
595,DA ARO Army Research Office,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,2485248,799983,7749348
596,DA ARO Army Research Office,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,90000,0,0
597,DA ARO Army Research Office,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,360000,315855,80000
598,DA Army Bases and Agencies Miscellaneous,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
599,DA Army Corps of Engineers/Omaha District,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,0,0,0
600,DA Army Medical Research and Materiel Command,Colleges,Chemistry Department,Chemistry Department,Federal,0,-77999,0
601,DA Army Medical Research and Materiel Command,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,1043744,0
602,DA Army Medical Research and Materiel Command,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,-8
603,DA Army Research Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,566174,0,0
604,DA Army Research Laboratory,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,98832
605,DA Congressionally Directed Medical Research Program,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,0,0,549499
606,DA Congressionally Directed Medical Research Program,Colleges,Chemistry Department,Chemistry Department,Federal,0,470583,0
607,DA Congressionally Directed Medical Research Program,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,549078
608,DA Congressionally Directed Medical Research Program,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,1311669
609,DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,669519,0,0
610,DAF AFOSR Air Force Office of Scientific Research,Colleges,Chemistry Department,Chemistry Department,Federal,0,1125000,610500
611,DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,Bioengineering,Federal,240000,120000,0
612,DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,190000,389999
613,DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,1581028,-231224,240000
614,DAF AFOSR Air Force Office of Scientific Research,Colleges,College of Engineering,Mechanical Engineering,Federal,240000,120000,0
615,DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,0,0,246971
616,DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Federal,-50,0,0
617,DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,607726,4918521,1895805
618,DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,779999,0,0
619,DAF AFOSR Air Force Office of Scientific Research,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,0,0,0
620,DAF AFOSR Air Force Office of Scientific Research,Vice Chancellor - Research,Vice Chancellor for Research ORUs,CPAM Center for Pure & Applied Mathematics,Federal,0,429825,0
621,DAF AFOSR Air Force Office of Scientific Research,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Federal,0,0,0
622,DAF Air Force Research Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,285000,0
623,DAF Air Force Research Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,0,0,0
624,DAF Wright-Patterson AFB,Other Academic,Strategic Academic and Facilities Planning,Haas Diversity Research Center (HIFIS Haas Institute),Federal,0,50000,0
625,DAF Wright-Patterson AFB,Schools,School of Public Health,"Dean's Office, Public Health",Federal,0,500000,0
626,DAF Wright-Patterson AFB,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,118993
627,DAF Wright-Patterson AFB,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Federal,2539,75000,225000
628,DAF Wright-Patterson AFB,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Federal,0,0,564789
629,DAF Wright-Patterson AFB,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,0,600000,0
630,DAF Wright-Patterson AFB,Vice Chancellor for Equity & Inclusion,Null,Null,Federal,0,300000,0
631,DAF Wright-Patterson AFB,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,VC Equity & Inclusion Immediate Office,Federal,950000,0,1125000
632,DHHS ACF Administration for Children and Families,Schools,School of Social Welfare,Dept of Social Welfare,Federal,0,1059951,1059805
633,DHHS ACF Administration for Children and Families,Vice Chancellor - Research,Academic Research Units,Center for Child and Youth Policy,Federal,1094599,0,0
634,DHHS Agency for Healthcare Research and Quality,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,0,0,41108
635,DHHS Agency for Healthcare Research and Quality,Schools,School of Public Health,Null,Federal,1984500,-42429,0
636,DHHS Agency for Healthcare Research and Quality,Schools,School of Public Health,"Dean's Office, Public Health",Federal,0,103544,0
637,DHHS CDC Centers for Disease Control,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,0,0,0
638,DHHS CDC Centers for Disease Control,Schools,School of Public Health,"Dean's Office, Public Health",Federal,1005984,753762,-547440
639,DHHS CDC Centers for Disease Control,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,11824072
640,DHHS CDC Centers for Disease Control,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,Federal,493636,0,0
641,DHHS FDA Food and Drug Administration,Colleges,College of Engineering,Mechanical Engineering,Federal,0,24900,0
642,DHHS Health Resources & Services Administration,Schools,School of Public Health,Null,Federal,-6773,0,807
643,DHHS Health Resources & Services Administration,Schools,School of Public Health,"Dean's Office, Public Health",Federal,-1037431,350540,352413
644,DHHS Health Resources & Services Administration,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,2630000,0
645,DHHS Health Resources & Services Administration,Schools,School of Social Welfare,Dept of Social Welfare,Federal,0,154266,203393
646,"DO NOT USE (Use 00VA27) Wellspring Advisors, LLC",Vice Chancellor - Research,Academic Research Units,IIS Institute of International Studies,Not for Profit,1800000,0,0
647,"DO NOT USE (Use 00VA27) Wellspring Advisors, LLC",Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Not for Profit,1344000,600000,0
648,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Non Federal Governmental,0,0,0
649,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,Colleges,College of Chemistry,Chemistry Department,Non Federal Governmental,0,0,100000
650,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,Colleges,College of Engineering,Bioengineering,Non Federal Governmental,0,0,100000
651,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Non Federal Governmental,0,0,189060
652,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Non Federal Governmental,336000,186830,14840
653,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Non Federal Governmental,0,0,0
654,DO NOT USE (Use 00VDTV) Human Frontier Science Program Organization,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Non Federal Governmental,0,160980,0
655,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,22533,0,0
656,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,90577,156918,158768
657,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,60000
658,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,117399,0,0
659,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,Mechanical Engineering,Federal,124225,-11806,62719
660,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Colleges,College of Engineering,Nuclear Engineering,Federal,128343,204917,369406
661,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Federal,0,0,50108
662,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,0,368784,0
663,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Schools,Goldman School of Public Policy,GSPP Programs & Research,Federal,0,0,54491
664,DO NOT USE (Use Code 00FC57) - LLNL Lawrence Livermore National Laboratory,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,0,139339,0
665,DOD Advanced Research Projects Agency,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,3917881,6599316,6955226
666,DOD Advanced Research Projects Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,4923576,1016053,5128616
667,DOD Advanced Research Projects Agency,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,0,0,999751
668,DOD Advanced Research Projects Agency,Colleges,College of Engineering,Mechanical Engineering,Federal,0,0,483057
669,DOD Advanced Research Projects Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Federal,0,0,0
670,DOD Advanced Research Projects Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,353900,0
671,DOD Advanced Research Projects Agency,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,0,540240
672,DOD Advanced Research Projects Agency,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,135227,0,0
673,DOD Defense Threat Reduction Agency,Colleges,College of Chemistry,Chemistry Department,Federal,200000,750120,149880
674,DOD Defense Threat Reduction Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,212201,0
675,DOD Defense Threat Reduction Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,445553,0
676,DOD National Geospatial Intelligence Agency,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,299191
677,DOD National Geospatial Intelligence Agency,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,-878,0
678,DOD National Geospatial Intelligence Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,300000,0
679,DOD National Geospatial Intelligence Agency,Schools,School of Optometry,Null,Federal,0,149944,0
680,DOD National Security Agency,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,0,100000
681,DOD National Security Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Federal,199246,0,0
682,DOD National Security Agency,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,200000,800000,0
683,DOD National Security Agency,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Federal,0,70000,0
684,DOD National Security Agency,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Federal,89997,90000,180000
685,DOD National Security Agency,Vice Chancellor - Research,VC Res Other Research Units,Simons Institute for the Theory of Computing,Federal,0,0,100000
686,DOD Naval Facilities Engineering Command,Vice Chancellor - Research,VC Research Museums & Field Stations,MVZ Museum of Vertebrate Zoology,Federal,0,10678,0
687,DOD Naval Ordnance Laboratory,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,0,0,0
688,DOD Naval Ordnance Laboratory,L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,Federal,0,0,0
689,DOD Naval Ordnance Laboratory,Schools,Goldman School of Public Policy,Total,Federal,893723,539384,792893
690,DOD Naval Post Graduate School,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,75000,0,0
691,DOD Naval Post Graduate School,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,0,-42572,0
692,DOD Naval Research Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,326156,342932,0
693,DOD Naval Research Laboratory,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,0,510000
694,DOD Navy Ship Research and Development Center,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,250000,0
695,DOD ONR Office of Naval Research,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,0,0,0
696,DOD ONR Office of Naval Research,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,0,-337000,0
697,DOD ONR Office of Naval Research,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,1109983,904032,978203
698,DOD ONR Office of Naval Research,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,734564,0,3000000
699,DOD ONR Office of Naval Research,Colleges,College of Engineering,IEOR Industrial Engineering & Operations Research,Federal,0,0,482595
700,DOD ONR Office of Naval Research,Colleges,College of Engineering,MSE Materials Science & Engineering,Federal,0,0,370000
701,DOD ONR Office of Naval Research,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,617037,420062,1289000
702,DOD ONR Office of Naval Research,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,0,0,400000
703,DOD ONR Office of Naval Research,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Federal,0,0,696568
704,DOD ONR Office of Naval Research,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,185080,555242
705,DOD ONR Office of Naval Research,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,-253,0,0
706,DOD ONR Office of Naval Research,Vice Chancellor - Research,VC Research Museums & Field Stations,University/Jepson Herbaria,Federal,0,10497,0
707,DOD Separate Agencies Miscellaneous,Schools,School of Optometry,Null,Federal,0,999724,0
708,DOD Space and Naval Warfare Systems Command,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,0
709,DOD Space and Naval Warfare Systems Command,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,348973,3211703
710,DOD Space and Naval Warfare Systems Command,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,-2792431,0
711,DOD Space and Naval Warfare Systems Command,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,0,0,0
712,DOE Department of Energy,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Federal,0,-31358,0
713,DOE Department of Energy,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,2730236,882078,9958330
714,DOE Department of Energy,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,88993,4614,6574484
715,DOE Department of Energy,Colleges,College of Chemistry,Plant & Microbial Biology Department,Federal,0,-1109,0
716,DOE Department of Energy,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,150000,706000,0
717,DOE Department of Energy,Colleges,College of Chemistry,Chemistry Department,Federal,2598687,8249713,0
718,DOE Department of Energy,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,0,0,12500001
719,DOE Department of Energy,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,0,750000,0
720,DOE Department of Energy,College of Engineering,College of Engineering,EERC Earthquake Engineering Research Center,Federal,0,800000,0
721,DOE Department of Energy,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,1000000,-26798,489073
722,DOE Department of Energy,Colleges,College of Engineering,Mechanical Engineering,Federal,294038,0,0
723,DOE Department of Energy,Colleges,College of Engineering,Nuclear Engineering,Federal,1642282,1325393,1119695
724,DOE Department of Energy,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,2066986,1546560,1864164
725,DOE Department of Energy,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,1557875,923000,2754944
726,DOE Department of Energy,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Federal,0,0,-428
727,DOE Department of Energy,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,39000
728,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,Federal,131900,4118066,0
729,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,Federal,1305146,-938875,182832
730,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,Energy and Climate Institute,Federal,0,0,225000
731,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Federal,0,-511003,0
732,DOE Department of Energy,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,-12000,85214,0
733,DOE Department of Energy,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,-3564,0
734,DOE Department of Energy,Vice Chancellor - Research,VC Research,VCR Immediate Office,Federal,0,0,0
735,DOE Department of Energy,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,0,-3,0
736,DOED US Department of Education,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,906,7611,0
737,DOED US Department of Education,EVCP Executive Vice Chancellor & Provost,Division of Undergraduate Education,Academic Achievement Division,Federal,-74514,0,2377005
738,DOED US Department of Education,EVCP Executive Vice Chancellor & Provost,Division of Undergraduate Education,DSP Disabled Students' Program,Federal,-33971,0,1460690
739,DOED US Department of Education,L&S College of Letters & Sciences,Division of Arts & Humanities,SSEAS South & Southeast Asian Studies,Federal,0,0,0
740,DOED US Department of Education,Other Academic,Graduate Division,Null,Federal,195673,8059702,135000
741,DOED US Department of Education,Other Academic,Graduate Division,Graduate Division Dean,Federal,0,158109,0
742,DOED US Department of Education,Other Academic,Graduate Division,Graduate Division Fellowships,Federal,0,285670,168879
743,DOED US Department of Education,Schools,Graduate School of Education,Null,Federal,0,0,0
744,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,Center for African Studies,Federal,-260377,0,0
745,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,Center for Middle Eastern Studies,Federal,-125437,1080000,0
746,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,CLAS Center for Latin American Studies,Federal,-125035,0,0
747,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,CSAS Center for South Asian Studies,Federal,-143717,966360,0
748,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,CSEAS Center for Southeast Asian Studies,Federal,-138294,960040,0
749,DOED US Department of Education,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Federal,-41485,880000,83449
750,DOED US Department of Education,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,1499873,0,0
751,DOED US Department of Education,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Federal,-18226,35916,0
752,DOL Bureau of Labor Statistics,L&S College of Letters & Sciences,Division of Social Sciences,Economics,Federal,0,0,0
753,DOL Bureau of Labor Statistics,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Federal,0,0,0
754,DOL Occupational Safety and Health Administration,Schools,School of Public Health,"Dean's Office, Public Health",Federal,181330,0,0
755,DOL Occupational Safety and Health Administration,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,165000
756,DOT Federal Highway Administration,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,1002724,-1550,5000
757,DOT Federal Highway Administration,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
758,DOT Federal Highway Administration,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Federal,0,0,-3450
759,DOT Federal Highway Administration,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,51900,16500,26500
760,DOT Research and Innovation Technology Administration,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,Federal,0,0,0
761,DOT Research and Innovation Technology Administration,Vice Chancellor - Research,VC Res Other Research Units,UC Transportation Center,Federal,5163200,1693400,861000
762,DOT Research and Special Programs Administration,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,Federal,5000,0,0
763,DSM Food Specialties,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,75000,5000,5000
764,DURA Automotive Systems,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,50000
765,Daesan Foundation,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,0,0,0
766,"Daiichi Pharmaceutical Co, Ltd",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
