Sponsor,Control Unit,Division,Department,Sponsor Class,2014,2015,2016
USDI Geological Survey,Vice Chancellor - Research,VC Research Museums & Field Stations ,UC Museum of Paleontology,Federal,nan,nan,"$20,000 "
USDI National Park Service,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Federal,"$17,625 ","$52,000 ","$50,000 "
USDI National Park Service,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,"$251,000 ","$24,813 ","$150,346 "
USDI National Park Service,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,nan,nan,"$60,000 "
USDI National Park Service,Other Academic,UC Library,Null,Federal,$0 ,$0 ,"$296,347 "
USDI National Park Service,Other Academic,UC Library,University Library,Federal,"$31,000 ","$366,309 ",$0 
USDI National Park Service,Schools,Graduate School of Education,School of Education,Federal,nan,nan,"$2,000 "
USDI National Park Service,Vice Chancellor - Research,VC Research Museums & Field Stations ,Essig Museum of Entomology,Federal,"$6,951 ",nan,nan
USDI National Park Service,Vice Chancellor - Research,VC Research Museums & Field Stations ,University/Jepson Herbaria,Federal,nan,nan,$0 
USDI National Park Service,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,"$28,488 ",$0 ,$0 
USDJ Office of Justice Programs,Schools,Goldman School of Public Policy,GSPP Programs & Research,Federal,nan,nan,"$225,000 "
USDJ Office of Justice Programs,Schools,Goldman School of Public Policy,nan,Federal,nan,$0 ,$0 
USDJ Office of Justice Programs,Schools,School of Social Welfare,Dept of Social Welfare,Federal,nan,nan,"$31,455 "
USDJ Office of Justice Programs,Schools,School of Social Welfare,Social Welfare,Federal,"$456,606 ",nan,nan
USDS State Department Miscellaneous Agencies and Programs,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,nan,"$67,906 ",$0 
USDS State Department Miscellaneous Agencies and Programs,Schools,School of Information,iSchool School of Information,Federal,nan,$0 ,nan
USDS State Department Miscellaneous Agencies and Programs,Schools,School of Law,Null,Federal,"$100,000 ",$0 ,nan
USDS State Department Miscellaneous Agencies and Programs,Schools,School of Law,Boalt Law School,Federal,nan,$0 ,nan
USDS State Department Miscellaneous Agencies and Programs,Vice Chancellor - Research,Academic Research Units,CSAS Center for South Asian Studies,Federal,$0 ,nan,nan
USDS United States Embassy,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Federal,"$98,552 ",$0 ,nan
USDS United States Embassy,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,nan,nan,"$5,000 "
UTC United Technologies Corp (Incl. UTCR United Tech Res Ctr),College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,nan,"$100,000 ","$80,000 "
UTC United Technologies Corp (Incl. UTCR United Tech Res Ctr),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,nan,nan,"($958,333)"
Unitarian Universalist Congregation at Shelter Rock,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,Not for Profit,"$42,000 ",nan,"$50,000 "
United Arab Emirates University,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$75,000 ",$0 ,nan
United Nations Children's Fund,Schools,Goldman School of Public Policy,Null,Non Federal Governmental,nan,"$26,220 ",nan
United Nations Foundation,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,nan,"$194,638 "
United States - Japan Foundation,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,nan,nan,"$8,000 "
United States - Japan Foundation,Vice Chancellor - Research,Academic Research Units,IEAS Institute of East Asian Studies,Not for Profit,"$147,458 ","$150,000 ","$126,882 "
United States-India Educational Foundation,Vice Chancellor - Research,Academic Research Units,CSAS Center for South Asian Studies,Not for Profit,nan,"$189,524 ",$0 
Universal Bio Mining,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,nan,"$2,000 ",nan
Universitaet Fuer Bodenkultur Wien,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,nan
Universite Pierre et Marie Curie,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$103,395 ",nan,nan
Universities Space Research Association,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,nan,"$6,200 ",nan
University Affiliated Research Center (NASA-Ames),Colleges,College of Engineering,Civil & Environmental Engineering,University of California,nan,"$115,586 ",nan
University College Dublin,Vice Chancellor - Research,VC Res Other Research Units,CITRIS Ctr for Info Tech Research in the Interest of Society,Not for Profit,nan,nan,"$8,497 "
University Corporation at Monterey Bay,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Not for Profit,nan,"$19,999 ",$0 
University Corporation for Atmospheric Research,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$147,485 ",$0 ,$0 
University Health Network,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,"$36,763 ","($2,365)"
"University Research Co., LLC",Schools,School of Public Health,"Dean's Office, Public Health",Industry,"$100,193 ",$0 ,nan
University at Buffalo,Colleges,Chemistry Department,Chemical and Biomolecular Engineering,Not for Profit,nan,nan,$0 
University at Buffalo,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,nan,nan,"$488,188 "
University of Aarhus,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Not for Profit,"$56,000 ",nan,"$160,000 "
University of Aberdeen,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$29,040 ",nan,nan
University of Alabama,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$23,732 ",nan,nan
University of Alabama,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,"$22,967 ",nan
University of Alabama,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,"$22,642 ",nan,nan
University of Alaska,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,"$128,083 ",$0 
University of Alberta,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,"$7,608 ",nan
University of Almeria,Colleges,College of Chemistry,Chemistry Department,Not for Profit,$0 ,nan,nan
University of Arizona,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,"$402,730 ","$218,703 ",$0 
University of Arizona,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$403,841 ","$300,018 "
University of Arizona,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$250,000 ","$235,000 ","$200,000 "
University of Arizona,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,"$518,134 ",$0 ,nan
University of Bern,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,"($40,003)",nan
University of Bonn,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,$0 
University of British Columbia,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,$0 ,nan,nan
University of Cambridge,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,nan,"$38,855 "
University of Cambridge,L&S College of Letters & Sciences,Division of Social Sciences,Women's Studies,Not for Profit,nan,"$33,969 ",nan
University of Cambridge,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,"$32,188 ",nan,nan
University of Cambridge,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,$0 ,nan,nan
University of Cape Town,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,nan,nan,$0 
University of Central Florida,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$1,100,000 ","$1,993,000 ",$0 
University of Central Florida,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$17,380 ","$61,379 ","$35,275 "
University of Cincinnati,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,nan,nan,"$360,000 "
University of Cincinnati,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,nan
University of Colorado Boulder,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,"$22,000 ","$9,500 "
University of Colorado Boulder,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$8,301,797 ","$2,204,946 ","$2,038,943 "
University of Colorado System,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,$0 ,nan,"($75,062)"
University of Colorado System,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$167,191 ","$357,884 ",$0 
University of Colorado System,Schools,Graduate School of Education,Null,Not for Profit,"$172,942 ",nan,nan
University of Colorado System,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$690,632 ","($93,590)",nan
University of Colorado System,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,$0 ,nan,nan
University of Connecticut,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,nan,nan,"$123,532 "
University of Connecticut,Schools,Graduate School of Education,School of Education,Not for Profit,nan,"$26,142 ",($1)
University of Delaware,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$139,320 ",$0 ,$0 
University of Delaware,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$224,049 ",$1 ,"$114,000 "
University of Exeter,Vice Chancellor - Research,VC Res Other Research Units,History of Science & Technology,Not for Profit,"$48,444 ",nan,nan
University of Florida,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$315,496 "
University of Florida,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,nan,nan,"$499,737 "
University of Florida,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,"$149,998 ",nan
University of Georgia,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Not for Profit,nan,"$150,189 ",nan
University of Glasgow,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,nan,"$8,000 ",nan
University of Hamburg,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$150,687 ",nan,nan
University of Hawaii,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,"$27,073 ",$0 ,$0 
University of Hawaii,Vice Chancellor - Research,VC Research Museums & Field Stations ,BNHM Admin Svcs,Not for Profit,$0 ,nan,nan
University of Idaho,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Not for Profit,nan,$0 ,nan
University of Illinois,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,$0 ,"$254,298 ","$443,169 "
University of Illinois,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,nan,"$32,618 "
University of Illinois,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$281,475 ","$208,333 ","($300,000)"
University of Illinois,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,nan,"$494,675 ","$725,580 "
University of Illinois,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,nan,"$250,000 ",$0 
University of Illinois,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,"$50,000 ",nan
University of Illinois,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,nan,nan,$0 
University of Illinois,Schools,Graduate School of Education,Null,Not for Profit,$0 ,$0 ,nan
University of Illinois,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,"$99,972 ",$0 ,nan
University of Innsbruck,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,"$362,977 ","$386,213 ","$120,000 "
University of Iowa,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,nan,nan,"$353,858 "
University of Jeddah,Schools,Graduate School of Education,School of Education,Not for Profit,nan,nan,"$465,000 "
University of Kansas,Schools,Graduate School of Education,School of Education,Not for Profit,"$119,626 ","$32,311 ",$0 
University of Kentucky Center for Poverty Research,Schools,Goldman School of Public Policy,GSPP Programs & Research,Not for Profit,nan,nan,"$74,999 "
University of Kentucky/University of Kentucky Research Foundation,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,Not for Profit,nan,"$40,000 ",nan
University of Kentucky/University of Kentucky Research Foundation,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,nan,"$40,000 ",$0 
University of London,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Not for Profit,"$123,757 ",nan,nan
University of Louisville,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,nan,"$2,000 ",nan
University of Manchester,Colleges,Chemistry Department,Chemical and Biomolecular Engineering,Not for Profit,nan,nan,$0 
University of Manchester,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,$0 
University of Manchester,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,nan,"$18,616 ",nan
University of Maryland (College Park),Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,nan,"$125,000 ","$184,413 "
University of Maryland (College Park),College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$45,740 ","$778,596 "
University of Maryland (College Park),Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$99,970 ","$292,000 ","$206,202 "
University of Maryland (College Park),L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,$0 ,nan,nan
University of Maryland (College Park),Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,"$70,426 ",nan,nan
University of Massachusetts Amherst,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$21,640 ",nan,nan
University of Massachusetts Amherst,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,$0 ,nan,nan
University of Massachusetts Amherst,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$689,108 ",nan
University of Massachusetts Amherst,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,$0 ,$0 
University of Massachusetts Amherst,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,"$817,904 "
University of Massachusetts Amherst,Schools,School of Public Health,Null,Not for Profit,nan,nan,$0 
University of Miami,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$13,229 ",nan,nan
University of Miami,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,$0 
University of Michigan,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,"$158,128 ",nan,nan
University of Michigan,Colleges,College of Engineering,Bioengineering,Not for Profit,nan,nan,$0 
University of Michigan,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$111,728 ","$348,854 ","$290,136 "
University of Michigan,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,nan,nan,"$253,365 "
University of Michigan,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,"$194,280 ","$194,340 ","$194,380 "
University of Michigan,L&S College of Letters & Sciences,Division of Physical Sciences,Mathematics,Not for Profit,nan,"$41,768 ",nan
University of Michigan,L&S College of Letters & Sciences,Division of Social Sciences,Economics,Not for Profit,nan,$0 ,$0 
University of Michigan,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,Not for Profit,$0 ,nan,nan
University of Michigan,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,nan,$0 
University of Michigan,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,$0 ,$0 ,nan
University of Michigan,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,nan,nan,"$332,828 "
University of Michigan,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Not for Profit,$0 ,"$56,567 ","$159,367 "
University of Minnesota,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,nan,"($779,604)",nan
University of Minnesota,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$350,000 ","$775,641 ","$512,729 "
University of Minnesota,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,"$300,000 ",$0 ,"$44,115 "
University of Minnesota,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$70,000 ","$70,000 ",nan
University of Minnesota,Colleges,College of Engineering,MSE Materials Science & Engineering,Not for Profit,"$23,462 ",nan,"$200,000 "
University of Minnesota,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Not for Profit,nan,"$50,000 ","$20,833 "
University of Minnesota,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,nan
University of Minnesota,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,"$2,154,760 ",$0 ,"$537,417 "
University of Missouri (Columbia),Colleges,College of Chemistry,Chemistry Department,Not for Profit,nan,"$224,125 ","$190,000 "
University of Nebraska,Colleges,College of Engineering,Civil & Environmental Engineering,Not for Profit,"$142,857 ",$0 ,$0 
University of Nebraska Medical Center,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$20,000 ",nan
University of Nevada,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,nan,nan,"$124,506 "
University of New Hampshire,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$300,000 ",$0 ,$0 
University of New Hampshire,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Not for Profit,$0 ,nan,nan
University of New Hampshire,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Not for Profit,nan,nan,"$89,212 "
University of New Mexico,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Not for Profit,"$34,959 ",$0 ,$0 
University of North Carolina at Chapel Hill,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,nan,nan,$0 
University of North Carolina at Chapel Hill,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,nan,nan,$0 
University of North Carolina at Chapel Hill,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,$0 
University of North Carolina at Chapel Hill,Schools,School of Public Health,Null,Not for Profit,$0 ,nan,nan
University of North Carolina at Chapel Hill,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,$0 ,$0 ,nan
University of North Carolina at Chapel Hill,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$228,398 ",$0 ,nan
University of North Carolina at Chapel Hill,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,"$249,441 ","$50,576 "
University of North Carolina at Chapel Hill,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,nan,$0 ,nan
University of North Dakota,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,nan
University of Notre Dame,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$472,197 ","$643,506 ","$230,041 "
University of Notre Dame,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Not for Profit,"$197,213 ",nan,nan
University of Notre Dame,Vice Chancellor - Research,Vice Chancellor for Research ORUs,ICBS Institute for Cognitive and Brain Sciences,Not for Profit,nan,nan,"$82,824 "
University of Novi Sad,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,nan,"$38,334 "
University of Oregon,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Not for Profit,"$9,317 ","$45,271 ",nan
University of Paris,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,"$31,514 ",nan,nan
University of Pennsylvania,Colleges,College of Engineering,Bioengineering,Not for Profit,nan,nan,$0 
University of Pennsylvania,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$250,971 ",nan,"($80,000)"
University of Pennsylvania,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,nan,nan,"$61,445 "
University of Pennsylvania,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Not for Profit,"$9,706 ",nan,nan
University of Pennsylvania,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,nan,"$50,000 ",nan
University of Pennsylvania,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,nan
University of Pennsylvania,Schools,School of Optometry,Null,Not for Profit,nan,"$107,940 ",$0 
University of Pennsylvania,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$59,739 ","$47,169 ","$16,058 "
University of Pennsylvania,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,$0 ,$0 ,nan
University of Pennsylvania,Vice Chancellor - Research,VC Res Other Research Units,Independent Research Programs,Not for Profit,"$45,000 ",nan,nan
University of Pittsburgh,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Not for Profit,nan,$0 ,nan
University of Pittsburgh,Schools,School of Public Health,Null,Not for Profit,"$32,777 ","$32,449 ","$15,947 "
University of Pittsburgh,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$88,353 ","$51,988 ","$77,303 "
University of Pittsburgh,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,"$19,766 ",nan,"$40,270 "
University of Pittsburgh,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Not for Profit,"$19,766 ",nan,"$40,270 "
University of Pittsburgh,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Not for Profit,$0 ,nan,nan
University of Puerto Rico,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$60,000 ","$30,000 ","$180,000 "
University of Rochester,Schools,School of Optometry,nan,Not for Profit,"$50,000 ",nan,nan
University of Rochester,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,"($6,129)",nan,nan
University of South Florida,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,nan,"$436,833 "
University of Southern California,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$75,000 ","$25,000 ",nan
University of Southern California,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,"$75,000 ","$182,402 ","$210,000 "
University of Southern California,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,Not for Profit,nan,nan,"$30,000 "
University of Southern California,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,$0 ,nan,nan
University of Southern California,L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,Not for Profit,"$18,000 ",$0 ,"$80,000 "
University of Southern California,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Not for Profit,nan,nan,"$24,817 "
University of Southern California,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,$0 ,nan,nan
University of Southern California,Schools,School of Optometry,Null,Not for Profit,nan,"$98,534 ","$74,879 "
University of Southern California,Schools,School of Optometry,nan,Not for Profit,$0 ,nan,nan
University of Southern California,Schools,School of Social Welfare,Dept of Social Welfare,Not for Profit,nan,"$25,000 ",nan
University of Southern California,Schools,School of Social Welfare,Social Welfare,Not for Profit,nan,"$60,000 ",nan
University of Tennessee,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,nan,nan,"$168,889 "
University of Tennessee,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$125,000 ",nan,nan
University of Tennessee,Colleges,College of Engineering,Nuclear Engineering,Not for Profit,nan,"$83,220 ",$0 
University of Texas Health Science Center at Houston,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,nan,$0 ,nan
University of Texas Health Science Center at Houston,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,nan,"$286,541 "
University of Texas Health Science Center at Houston,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Not for Profit,nan,nan,"$16,188 "
University of Texas System,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,nan,"$404,956 ","($63,716)"
University of Texas at Austin,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Not for Profit,$0 ,$0 ,$0 
University of Texas at Austin,Colleges,College of Chemistry,Chemistry Department,Not for Profit,nan,$0 ,nan
University of Texas at Austin,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,$0 ,$0 ,"$178,893 "
University of Texas at Austin,L&S College of Letters & Sciences,Division of Physical Sciences,"Dean, Physical Sciences",Not for Profit,nan,"$18,175 ",nan
University of Texas at Austin,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,"$42,987 ","$127,505 "
University of Texas at Austin,Schools,Goldman School of Public Policy,GSPP Programs & Research,Not for Profit,nan,"$124,137 ",$0 
University of Texas at Dallas,College of Engineering,College of Engineering,EECS Electrical Engineering & Computer Sciences,Not for Profit,"$100,000 ","$200,000 ","$200,000 "
University of Texas at Dallas,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$448,135 ","$167,500 ",$0 
University of Tokyo,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,nan,"$300,000 ","$200,000 "
University of Tokyo,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,$0 ,nan
University of Utah,Colleges,College of Engineering,Mechanical Engineering,Not for Profit,"$1,957,500 ",$0 ,$0 
University of Virginia,Schools,School of Information,Null,Not for Profit,$0 ,nan,nan
University of Virginia,Schools,School of Information,iSchool School of Information,Not for Profit,"$18,774 ",nan,nan
University of Washington,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,"$104,890 ","$25,000 ",nan
University of Washington,Colleges,College of Chemistry,Chemistry Department,Not for Profit,"$273,940 ","$387,237 ","$139,555 "
University of Washington,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Not for Profit,"$88,876 ","$5,000 ","$5,000 "
University of Washington,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,"$209,936 ","$170,531 ","$220,000 "
University of Washington,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,nan,"$280,419 ","$216,574 "
University of Washington,Schools,Graduate School of Education,Null,Not for Profit,nan,"$60,000 ",nan
University of Washington,Schools,School of Information,iSchool School of Information,Not for Profit,nan,"$50,775 ",$0 
University of Washington,Schools,School of Public Health,Null,Not for Profit,nan,"$59,703 ","$117,370 "
University of Washington,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,"$132,103 ",nan,nan
University of Washington,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Not for Profit,nan,"$14,359 ","$50,166 "
University of Washington,Vice Chancellor - Research,VC Research Museums & Field Stations ,Essig Museum of Entomology,Not for Profit,nan,nan,nan
University of Waterloo,Schools,School of Optometry,Null,Not for Profit,"$17,750 ",nan,nan
