Sponsor,Control Unit,Division,Department,Total,Non_Stem
Ginkgo BioWorks,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),22000,False
Sam Schwartz Engineering D.P.C.,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,20000,False
General Atomics,Colleges,College of Engineering,Nuclear Engineering,19999,False
Eli Lilly and Company,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,19343,False
Booz Allen Hamilton Inc.,Colleges,College of Engineering,Civil & Environmental Engineering,18741,False
"Autodesk, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,18452,False
OncoSec Medical Inc.,Colleges,College of Engineering,Bioengineering,15650,False
"InstroTek, Inc.",Colleges,College of Engineering,Civil & Environmental Engineering,15508,False
"Zymergen, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),15000,False
Walt Disney Company,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",15000,False
"Autodesk, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),15000,False
Chen Ryan Associates,Schools,School of Public Health,"Dean's Office, Public Health",12520,False
Krell Institute,Other Academic,Graduate Division,Graduate Division Fellowships,12000,False
Happold Consulting,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,12000,False
Genedata AG,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),12000,False
Creekside Center for Earth Observation,Vice Chancellor - Research,VC Research Museums & Field Stations ,Botanical Garden,11200,False
Westat,Colleges,CNR College of Natural Resources,CNR Office of the Dean,10896,False
"Risk Management Solutions, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,10000,False
Holmes Culley,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,10000,False
GlaxoSmithKline (Incl Smith Kline Beecham),Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),10000,False
Degenkolb Engineers,Colleges,College of Engineering,ERSO Engineering Research Support Organization,10000,False
"Charles Salter Associates, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,10000,False
Braskem,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),10000,False
Ben Gerwick,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,10000,False
"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),10000,False
Siemens Corporation,Colleges,College of Engineering,Civil & Environmental Engineering,9200,False
Twist Bioscience,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),9000,False
Biomax Informatics AG,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),9000,False
"Conagen, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),8000,False
"Kittelson & Associates, Inc.",Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,7500,False
Genome Compiler Corporation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),7000,False
"Vandalia Research, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),5000,False
Monsanto Company,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),5000,False
"Lattice Automation, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),5000,False
"Danisco USA, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),5000,False
"Benchling, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),5000,False
"AFINGEN, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),5000,False
URS Corporation,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,4500,False
Magnusson Klemencic Associates,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,4500,False
Intrexon Corporation,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),4000,False
Arup North America Ltd,Vice Chancellor - Research,Academic Research Units,IURD Institute of Urban & Regional Development,4000,True
Amyris Biotechnologies,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),4000,False
Taylor Devices,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,3000,False
Synthace Ltd,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),3000,False
"Sun BioTools, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),3000,False
Raytheon BBN Technologies Corp.,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),3000,False
"Miyamoto International, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,3000,False
"Kalion, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),3000,False
"Insurance Services Office, Inc (Applied Insurance Research)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,3000,False
GeneForge Limited,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),3000,False
GEI Consultants,Colleges,College of Engineering,EERC Earthquake Engineering Research Center,3000,False
"Forell/Elsesser Engineering, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,3000,False
"Exponent Failure Analysis Associates, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,3000,False
"Biota Biosciences, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),3000,False
Bechtel Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,3000,False
Universal Bio Mining,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),2000,False
Geosyntec Consultants,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",2000,False
Fehr and Peers,Schools,School of Public Health,"Dean's Office, Public Health",1000,False
aBeam Technologies,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
Vishay Capella Microsystems (Taiwan) Limited,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
The Yield Book Inc.,Schools,Haas School of Business (Division),Null,0,True
Taconic,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
TET Systems Holding GMBH & CO. KG,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
TET Systems Holding GMBH & CO. KG,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,0,False
"Sumitomo Industries, Ltd",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,0,False
StemCell Technologies,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
"Siemens Medical Solutions USA, Inc.",Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,0,False
Siemens AG,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
San Diego Gas and Electric Company,Vice Chancellor - Research,Academic Research Units,CIEE California Institute for Energy & Environment,0,False
Samsung Information Systems America,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
SNL Sandia National Laboratory,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
"SEEO, Inc.",Colleges,CNR College of Natural Resources,Energy & Resources Group,0,False
Rutherford Appleton Laboratory,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,0,False
"REF TEK, A Division of Trimble",L&S College of Letters & Sciences,Division of Physical Sciences,Berkeley Seismological Laboratory,0,False
Philips Healthcare,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,0,False
Pacific Gas and Electric Company,Vice Chancellor - Research,Academic Research Units,IRLE Institute for Research on Labor and Employment,0,True
Oakland Raiders,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,0,True
Novartis Institutes for BioMedical Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
Nokia USA Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
Nokia Mobile Phones Inc.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
National Opinion Research Center,L&S College of Letters & Sciences,Division of Social Sciences,Sociology,0,True
"Mirimus, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
Microsoft Corporation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,0,False
Microsoft Corporation,Schools,School of Public Health,Null,0,False
"Merck & Co, Inc. (Merck Sharp & Dohme)",Schools,School of Public Health,Null,0,False
Materials Center Leoben Forschung GMBH,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
"MacroGenics, Inc.",Schools,School of Public Health,Null,0,False
"Lumos Labs, Inc.",L&S College of Letters & Sciences,Division of Social Sciences,Psychology,0,True
"Los Alamos National Security, LLC",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
"Ligandal, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,0,False
"Leidos, Inc.",Colleges,College of Chemistry,Chemistry Department,0,False
"Kittelson & Associates, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",0,False
Kane Biotech,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
Isis Pharmaceuticals,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
International Park of Creativity,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
"Integral Molecular, Inc.",Schools,School of Public Health,Null,0,False
IMS Health Incorporated,Schools,School of Public Health,Null,0,False
IBM Center for The Business of Government,Schools,School of Public Health,Null,0,False
Hilmar Cheese Company,Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,0,False
"High Performance Technologies, Inc.",Vice Chancellor - Research,Research Administrative Units,RAC Research Administration & Compliance,0,False
"Google, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
"Google, Inc.",Vice Chancellor - Research,Research Administrative Units,IPIRA Intellectual Property & Industry Research,0,False
GlaxoSmithKline (Incl Smith Kline Beecham),Colleges,College of Engineering,Bioengineering,0,False
"Genomatica, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
General Motors Corp,Vice Chancellor - Research,Academic Research Units,ITS Institute of Transportation Studies,0,False
General Motors Corp,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,0,False
"General Electric Company (incl GE Healthcare, GE Light Inst)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
"Genentech, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
"Genentech, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
"Genentech, Inc.",Colleges,College of Chemistry,Chemistry Department,0,False
"Genentech, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,0,False
Ford Motor Company,Colleges,College of Chemistry,Chemistry Department,0,False
Factory Mutual Insurance Company (DBA FM Global),Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
"EquityNet, LLC.",Colleges,College of Engineering,"Dean, Engineering",0,False
Eli Lilly and Company,Schools,School of Public Health,Null,0,False
Ecoagriculture International (Incl Ecoagriculture Partners),Colleges,CNR College of Natural Resources,ARE Agricultural & Resource Economics,0,False
ECOFYS International,Colleges,College of Engineering,ERSO Engineering Research Support Organization,0,False
Dow Corning Company,Colleges,College of Chemistry,Chemistry Department,0,False
"Daiichi Pharmaceutical Co, Ltd",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
"CymaBay Therapeutics, Inc.",Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,0,False
"Cooper Companies, Inc (incl CooperVision, CooperSurgical)",Schools,School of Optometry,nan,0,False
Cleave Biosciences,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,0,False
"China Automotive Battery Research Institute Co., LTD.",Colleges,College of Engineering,MSE Materials Science & Engineering,0,False
"Ceramatec, Inc.",Colleges,College of Chemistry,Chemical and Biomolecular Engineering,0,False
"Celsense, Inc.",Colleges,College of Engineering,Bioengineering,0,False
Broad Medical Research Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
"Bethyl Laboratories, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
"BP Group (BP America, BP Exploration, British Petroleum)",Vice Chancellor - Research,Vice Chancellor for Research ORUs,Null,0,False
AstraZeneca Inc.,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),0,False
"Allele Biotechnology and Pharmaceuticals, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
Alcon Laboratories,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,0,False
Agilent Technologies,L&S College of Letters & Sciences,L&S Biological Sciences,Innovative Genomics Initiative,0,False
Agilent Technologies,Colleges,College of Engineering,Bioengineering,0,False
"Aerosol Dynamics, Inc.",Schools,School of Public Health,"Dean's Office, Public Health",0,False
Aduro Biotech,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
"APATH, L.C.C.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,0,False
Charles River Analytics,Colleges,College of Engineering,ERSO Engineering Research Support Organization,-2,False
Schafer Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,-4970,False
"Gen9, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),-7000,False
"Pivot Bio, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),-10000,False
"TeselaGen Biotechnology, Inc.",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),-18000,False
Webcor Builders,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-24000,False
"RTKL Associates, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-24000,False
Lygos,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),-27000,False
Mary Davidge Associates,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-28000,False
Aditazz,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-28000,False
Integral Group,Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-45000,False
Medtronic,Colleges,College of Engineering,ERSO Engineering Research Support Organization,-50000,False
"Price Industries, Inc. (Incl. E.H. Price Limited)",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-70000,False
"Hitachi, Ltd (incl Hitachi America, Ltd)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,-100000,False
Fairchild Semiconductor (Schlumberger),Colleges,College of Engineering,ERSO Engineering Research Support Organization,-100000,False
"Tate Access Floors, Inc.",Vice Chancellor - Research,Academic Research Units,CEDR Center for Environmental Design Research,-105000,False
"Samsung Electronics Company, Ltd.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,-120000,False
"LOAD IQ, LLC",Colleges,College of Engineering,ERSO Engineering Research Support Organization,-150000,False
"KWJ Engineering, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,-150000,False
KangLaiTe USA,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,-156647,False
GlobalFoundries U.S. INC.,Colleges,College of Engineering,ERSO Engineering Research Support Organization,-160000,False
"Applied Materials, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,-175000,False
"General Electric Company (incl GE Healthcare, GE Light Inst)",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),-200000,False
"BP Group (BP America, BP Exploration, British Petroleum)",Colleges,College of Engineering,ERSO Engineering Research Support Organization,-200000,False
"Ostendo Technologies, Inc.",Schools,School of Optometry,nan,-511456,False
SELEX Sistemi Integrati,Colleges,College of Engineering,ERSO Engineering Research Support Organization,-600000,False
UTC United Technologies Corp (Incl. UTCR United Tech Res Ctr),Colleges,College of Engineering,ERSO Engineering Research Support Organization,-958333,False
IBM International Business Machines Corporation,Colleges,College of Engineering,ERSO Engineering Research Support Organization,-1018333,False
