,Sponsor,Control Unit,Division,Department,class_clean,2014,2015,2016
1478,Michigan State University,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Not for Profit,0,35067,25571
1479,Michigan State University,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Not for Profit,0,0,426901
1480,Michigan State University,Schools,Graduate School of Education,Null,Not for Profit,0,0,0
1481,Michigan State University,Schools,Graduate School of Education,School of Education,Not for Profit,0,242565,0
1482,Michigan State University,Schools,School of Public Health,"Dean's Office, Public Health",Not for Profit,5000,0,0
1483,"Microbial Medical, Inc.",Colleges,College of Engineering,Bioengineering,Industry,0,0,22500
1484,"Microbiotix, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,117818
1485,Microsoft Corporation,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Industry,0,0,138665
1486,Microsoft Corporation,Schools,School of Public Health,Null,Industry,0,0,0
1487,Microsoft Corporation,Vice Chancellor - Research,Academic Research Units,Data Science Institute,Industry,0,0,0
1488,Middlebury College,Campus Support,Vice Chancellor - Administration,International House,Not for Profit,0,10000,0
1489,Middlebury College,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,VC Equity & Inclusion Immediate Office,Not for Profit,181126,0,0
1490,Mind Science Foundation,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Not for Profit,0,15000,0
1491,Mind and Life Institute,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Not for Profit,0,0,13465
1492,Mindfulness Connections,L&S College of Letters & Sciences,Division of Social Sciences,Anthropology,Not for Profit,0,10000,0
1493,Ministry for Foreign Affairs of Finland,Schools,School of Law,Boalt Law School,Non Federal Governmental,0,82315,0
1494,Ministry of Education,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Non Federal Governmental,0,0,0
1495,Ministry of Education,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Non Federal Governmental,66500,54688,51302
1496,"Ministry of Science, Education and Sports of the Republic of Croatia",Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Non Federal Governmental,0,0,62513
1497,"Mirimus, Inc.",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Industry,0,0,0
1498,"Miyamoto International, Inc.",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,3000,0,0
1499,Monsanto Company,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Industry,0,5000,0
1500,Mosaic Materials,Colleges,College of Chemistry,Chemistry Department,Industry,0,0,220000
1501,Mosse Foundation,L&S College of Letters & Sciences,Division of Arts & Humanities,German,Not for Profit,0,0,5600
1502,Mount Sinai Medical Center,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Not for Profit,0,0,0
1503,Mount Sinai Medical Center,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Not for Profit,0,0,0
1504,"Murata Manufacturing Co., Ltd",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Industry,0,0,675000
1505,Museum of Science,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Not for Profit,137999,117999,0
1506,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,30000,0,0
1507,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,516672
1508,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Chemistry,Chemistry Department,Federal,32500,0,0
1509,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Chemistry,Chemistry Department,Federal,0,543208,32500
1510,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Chemistry,Chemistry Department,Federal,32500,60000,0
1511,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,879222
1512,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,30000,1200000,-476
1513,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Engineering,Mechanical Engineering,Federal,50000,0,280000
1514,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Engineering,Mechanical Engineering,Federal,0,0,71214
1515,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Engineering,Mechanical Engineering,Federal,245000,113000,799501
1516,NASA National Aeronautics and Space Administration Ames University Consortium,Colleges,College of Engineering,Mechanical Engineering,Federal,0,499938,0
1517,NASA National Aeronautics and Space Administration Ames University Consortium,L&S College of Letters & Sciences,Division of Physical Sciences,Astronomy,Federal,2140953,1503231,564766
1518,NASA National Aeronautics and Space Administration Ames University Consortium,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,0,387597,0
1519,NASA National Aeronautics and Space Administration Ames University Consortium,L&S College of Letters & Sciences,Division of Physical Sciences,Physics,Federal,30000,0,396044
1520,NASA National Aeronautics and Space Administration Ames University Consortium,L&S College of Letters & Sciences,Division of Social Sciences,Geography,Federal,0,0,30000
1521,NASA National Aeronautics and Space Administration Ames University Consortium,Vice Chancellor - Research,Academic Research Units,Center for Integrative Planetary Science,Federal,0,0,216172
1522,NASA National Aeronautics and Space Administration Ames University Consortium,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,0,0,20771
1523,NASA National Aeronautics and Space Administration Ames University Consortium,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,145134940,5587935,5858347
1524,NASA National Aeronautics and Space Administration Ames University Consortium,Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,Federal,9983738,10187933,11035870
1525,NASA National Aeronautics and Space Administration Ames University Consortium,Vice Chancellor - Research,Academic Research Units,TAC Theoretical Astrophysics Center,Federal,525000,0,0
1526,NASA National Aeronautics and Space Administration Ames University Consortium,Vice Chancellor - Student Affairs,Vice Chancellor - Student Affairs Division,LHS Lawrence Hall of Science,Federal,-916,0,-110000
1527,NEA National Endowment for the Arts,EVCP Executive Vice Chancellor & Provost,BAM/PFA,Art Mus & Pacific Film Archive,Federal,80000,0,40000
1528,NEA National Endowment for the Arts,EVCP Executive Vice Chancellor & Provost,Cal Performances/SMA,CAL Cal Performances,Federal,30000,25000,35000
1529,NEH National Endowment for the Humanities,EVCP Executive Vice Chancellor & Provost,BAM/PFA,Art Mus & Pacific Film Archive,Federal,300000,500000,0
1530,NEH National Endowment for the Humanities,L&S College of Letters & Sciences,Division of Arts & Humanities,Rhetoric,Federal,0,0,0
1531,NEH National Endowment for the Humanities,L&S College of Letters & Sciences,Division of Arts & Humanities,S&P Spanish & Portuguese,Federal,0,50000,10000
1532,NEH National Endowment for the Humanities,L&S College of Letters & Sciences,Division of Social Sciences,History,Federal,178734,0,179937
1533,NEH National Endowment for the Humanities,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Federal,0,399287,110874
1534,NEH National Endowment for the Humanities,Other Academic,UC Library,Null,Federal,0,350000,100000
1535,NEH National Endowment for the Humanities,Other Academic,UC Library,University Library,Federal,200000,0,0
1536,NEH National Endowment for the Humanities,Schools,School of Information,Null,Federal,0,0,0
1537,NEH National Endowment for the Humanities,Vice Chancellor - Research,Academic Research Units,ARF Archaeological Research Facility,Federal,194152,325000,260000
1538,NEH National Endowment for the Humanities,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Federal,0,2000,0
1539,NEH National Endowment for the Humanities,Vice Chancellor - Research,VC Research Museums & Field Stations ,PHMA Phoebe A Hearst Museum of Anthropology,Federal,400000,0,-45111
1540,NIH AIDS Research & Reference Reaganet Program,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,0
1541,NIH Fogarty International Center,Schools,School of Public Health,Null,Federal,0,-146856,0
1542,NIH Fogarty International Center,Schools,School of Public Health,"Dean's Office, Public Health",Federal,3051869,408680,-67650
1543,NIH Fogarty International Center,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,-11318,-13695,0
1544,NIH National Cancer Institute,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,69511,0,0
1545,NIH National Cancer Institute,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,135940,0,1747318
1546,NIH National Cancer Institute,Colleges,College of Chemistry,Chemistry Department,Federal,515,0,912
1547,NIH National Cancer Institute,L&S College of Letters & Sciences,L&S Biological Sciences,Cancer Research Laboratory,Federal,-29002,-45316,0
1548,NIH National Cancer Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,338727,8380576,3190131
1549,NIH National Cancer Institute,Schools,School of Public Health,Null,Federal,0,0,0
1550,NIH National Cancer Institute,Schools,School of Public Health,"Dean's Office, Public Health",Federal,123273,561274,100444
1551,NIH National Cancer Institute,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,1154612
1552,NIH National Cancer Institute,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,-2304395,2132010,4587242
1553,NIH National Center for Advancing Translational Sciences,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,0
1554,NIH National Center for Advancing Translational Sciences,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,136881,2468269,100000
1555,NIH National Center for Complementary and Integrative Health,Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Federal,0,0,2355000
1556,NIH National Center on Minority Health & Health Disparities,Colleges,CNR College of Natural Resources,CNR Office of the Dean,Federal,-19321,0,0
1557,NIH National Center on Minority Health & Health Disparities,Vice Chancellor - Research,VC Res Other Research Units,Center for Emerging & Neglected Diseases,Federal,1318540,-107443,-5000
1558,NIH National Eye Institute,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,-7415,-7403,0
1559,NIH National Eye Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,1194270,1139563,1751016
1560,NIH National Eye Institute,Schools,School of Optometry,Null,Federal,6702183,7927993,6739119
1561,NIH National Eye Institute,Schools,School of Optometry,nan,Federal,7208104,-8197,-50461
1562,NIH National Eye Institute,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,2021193
1563,NIH National Eye Institute,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,402103,1492485,1837765
1564,NIH National Eye Institute,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,2217853,-164537
1565,"NIH National Heart, Lung, and Blood Institute",Colleges,College of Chemistry,Chemistry Department,Federal,19122,0,0
1566,"NIH National Heart, Lung, and Blood Institute",Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
1567,"NIH National Heart, Lung, and Blood Institute",Colleges,College of Engineering,Mechanical Engineering,Federal,105689,3461,0
1568,"NIH National Heart, Lung, and Blood Institute",L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,272915,1385019,216948
1569,"NIH National Heart, Lung, and Blood Institute",Schools,School of Public Health,Null,Federal,0,0,0
1570,"NIH National Heart, Lung, and Blood Institute",Schools,School of Public Health,"Dean's Office, Public Health",Federal,3740922,-15503,-11750
1571,"NIH National Heart, Lung, and Blood Institute",Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,1451845,1687918,0
1572,NIH National Human Genome Research Institute,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,-96772,2256589
1573,NIH National Human Genome Research Institute,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,-53393,1989554,1932165
1574,NIH National Institute of Allergy & Infectious Diseases,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,0,2302310,1839046
1575,NIH National Institute of Allergy & Infectious Diseases,Colleges,College of Chemistry,Chemistry Department,Federal,-26348,0,0
1576,NIH National Institute of Allergy & Infectious Diseases,Colleges,College of Engineering,Bioengineering,Federal,0,0,413925
1577,NIH National Institute of Allergy & Infectious Diseases,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,0,0,0
1578,NIH National Institute of Allergy & Infectious Diseases,L&S College of Letters & Sciences,Division of Physical Sciences,Earth & Planetary Science,Federal,54053,0,0
1579,NIH National Institute of Allergy & Infectious Diseases,L&S College of Letters & Sciences,L&S Biological Sciences,Cancer Research Laboratory,Federal,128118,0,0
1580,NIH National Institute of Allergy & Infectious Diseases,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,3931909,5626630,6290399
1581,NIH National Institute of Allergy & Infectious Diseases,Schools,School of Optometry,Null,Federal,15044,0,0
1582,NIH National Institute of Allergy & Infectious Diseases,Schools,School of Public Health,Null,Federal,519111,0,0
1583,NIH National Institute of Allergy & Infectious Diseases,Schools,School of Public Health,"Dean's Office, Public Health",Federal,0,0,0
1584,NIH National Institute of Allergy & Infectious Diseases,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,9688589,13470126
1585,NIH National Institute of Allergy & Infectious Diseases,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,3389777,1673159,-718158
1586,NIH National Institute of Arthritis and Musculoskeletal and Skin Diseases,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,290245,-6741,0
1587,NIH National Institute of Arthritis and Musculoskeletal and Skin Diseases,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,-8770,0,0
1588,NIH National Institute of Biomedical Imaging and Bioengineering,Colleges,College of Chemistry,Chemistry Department,Federal,-32027,392189,0
1589,NIH National Institute of Biomedical Imaging and Bioengineering,Colleges,College of Engineering,Bioengineering,Federal,0,0,1267394
1590,NIH National Institute of Biomedical Imaging and Bioengineering,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,-5784,0,0
1591,NIH National Institute of Biomedical Imaging and Bioengineering,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,2185502,0,0
1592,NIH National Institute of Biomedical Imaging and Bioengineering,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,809333,2368030,1164154
1593,NIH National Institute of Child Health & Human Development,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,-10096,226415,77333
1594,NIH National Institute of Child Health & Human Development,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Federal,-37427,-46608,0
1595,NIH National Institute of Child Health & Human Development,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,0,1308,-7924
1596,NIH National Institute of Child Health & Human Development,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,-15594,2680386,-21616
1597,NIH National Institute of Child Health & Human Development,Schools,School of Public Health,Null,Federal,2506793,2255164,-5356
1598,NIH National Institute of Child Health & Human Development,Schools,School of Public Health,"Dean's Office, Public Health",Federal,368507,-3970,0
1599,NIH National Institute of Child Health & Human Development,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,2449558,2710144,-18039
1600,NIH National Institute of Child Health & Human Development,Schools,School of Social Welfare,Dept of Social Welfare,Federal,0,702225,-6733
1601,NIH National Institute of Child Health & Human Development,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,0,168414
1602,NIH National Institute of Child Health & Human Development,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,154573,0,0
1603,NIH National Institute of Child Health & Human Development,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Federal,0,0,-2731
1604,NIH National Institute of Child Health & Human Development,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,2040883,-12630,0
1605,NIH National Institute of Child Health & Human Development,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,-14827,1365435,-1178
1606,NIH National Institute of Dental and Craniofacial Research,Colleges,College of Engineering,Bioengineering,Federal,0,737878,0
1607,NIH National Institute of Dental and Craniofacial Research,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,0,245160
1608,NIH National Institute of Dental and Craniofacial Research,Schools,School of Public Health,Null,Federal,1956250,93666,220528
1609,NIH National Institute of Dental and Craniofacial Research,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,0,0,1916173
1610,NIH National Institute of Dental and Craniofacial Research,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,193365,1824
1611,NIH National Institute of Diabetes and Digestive and Kidney Diseases,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,856299,2818056,3245518
1612,NIH National Institute of Diabetes and Digestive and Kidney Diseases,Colleges,College of Chemistry,Chemistry Department,Federal,0,-101404,0
1613,NIH National Institute of Diabetes and Digestive and Kidney Diseases,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,-313753,0,0
1614,NIH National Institute of Diabetes and Digestive and Kidney Diseases,Schools,School of Public Health,Null,Federal,0,0,0
1615,NIH National Institute of Diabetes and Digestive and Kidney Diseases,Schools,School of Public Health,"Dean's Office, Public Health",Federal,-17007,0,0
1616,NIH National Institute of Diabetes and Digestive and Kidney Diseases,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,-40875
1617,NIH National Institute of Environmental Health Sciences,Colleges,College of Chemistry,Chemistry Department,Federal,0,-8110,0
1618,NIH National Institute of Environmental Health Sciences,Colleges,College of Engineering,Civil & Environmental Engineering,Federal,0,762146,0
1619,NIH National Institute of Environmental Health Sciences,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,426854,28080,0
1620,NIH National Institute of Environmental Health Sciences,Schools,School of Public Health,Null,Federal,442347,0,0
1621,NIH National Institute of Environmental Health Sciences,Schools,School of Public Health,"Dean's Office, Public Health",Federal,10096774,478946,949220
1622,NIH National Institute of Environmental Health Sciences,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,400901,3848624,5166684
1623,NIH National Institute of Environmental Health Sciences,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,42133,0,0
1624,NIH National Institute of General Medical Sciences,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,0,634187,0
1625,NIH National Institute of General Medical Sciences,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,-20663,1468258,-663163
1626,NIH National Institute of General Medical Sciences,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,1331182,1456286,106600
1627,NIH National Institute of General Medical Sciences,Colleges,College of Chemistry,Plant & Microbial Biology Department,Federal,0,0,0
1628,NIH National Institute of General Medical Sciences,Colleges,College of Chemistry,Chemistry Department,Federal,4065827,3687175,4095627
1629,NIH National Institute of General Medical Sciences,Colleges,College of Engineering,EECS Electrical Engineering & Computer Sciences,Federal,824930,0,1202976
1630,NIH National Institute of General Medical Sciences,Colleges,College of Engineering,ERSO Engineering Research Support Organization,Federal,-6909,0,0
1631,NIH National Institute of General Medical Sciences,L&S College of Letters & Sciences,Division of Physical Sciences,Statistics,Federal,1184330,0,0
1632,NIH National Institute of General Medical Sciences,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,1103318,3316898,-49049
1633,NIH National Institute of General Medical Sciences,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,-5549792,10963406,20465316
1634,NIH National Institute of General Medical Sciences,Schools,School of Public Health,Null,Federal,0,0,0
1635,NIH National Institute of General Medical Sciences,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,-13427,-37750,0
1636,NIH National Institute of General Medical Sciences,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,5995252,5358646,10493816
1637,NIH National Institute of General Medical Sciences,Vice Chancellor - Research,VC Research Museums & Field Stations ,MVZ Museum of Vertebrate Zoology,Federal,1095002,1092,-3672
1638,NIH National Institute of General Medical Sciences,Vice Chancellor for Equity & Inclusion,Office of Equity & Inclusion,Center for Educational Partnerships,Federal,-8575,0,0
1639,NIH National Institute of Mental Health,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,152078,2784184,162642
1640,NIH National Institute of Mental Health,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,0,4278433,2272208
1641,NIH National Institute of Mental Health,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,250000,-15135,763609
1642,NIH National Institute of Mental Health,Schools,School of Social Welfare,Null,Federal,0,0,0
1643,NIH National Institute of Mental Health,Schools,School of Social Welfare,Social Welfare,Federal,74420,235227,0
1644,NIH National Institute of Mental Health,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,2015814,1416025,418638
1645,NIH National Institute of Mental Health,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,2007866,0,0
1646,NIH National Institute of Mental Health,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,0,0,0
1647,NIH National Institute of Mental Health,Vice Chancellor - Research,Academic Research Units,IPSR Institute for Personality & Social Research,Federal,19569,1676208,-46139
1648,NIH National Institute of Neurological Disorders and Stroke,Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Federal,-3140,0,0
1649,NIH National Institute of Neurological Disorders and Stroke,Colleges,College of Chemistry,Chemistry Department,Federal,714951,-2432,0
1650,NIH National Institute of Neurological Disorders and Stroke,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,388090,1713324,-32449
1651,NIH National Institute of Neurological Disorders and Stroke,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,-142100,0,0
1652,NIH National Institute of Neurological Disorders and Stroke,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,2663789,2420521,371534
1653,NIH National Institute of Neurological Disorders and Stroke,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,1914024,1849562,61131
1654,NIH National Institute of Neurological Disorders and Stroke,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,1707517,1657356,365265
1655,NIH National Institute on Aging,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,-16929,-9191,0
1656,NIH National Institute on Aging,L&S College of Letters & Sciences,Division of Social Sciences,Demography,Federal,879715,1918,11664
1657,NIH National Institute on Aging,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,293473,117298,3320476
1658,NIH National Institute on Aging,L&S College of Letters & Sciences,Division of Social Sciences,The Social Science Matrix,Federal,0,0,1775545
1659,NIH National Institute on Aging,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,564952,109299,2739919
1660,NIH National Institute on Aging,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,116275,163530
1661,NIH National Institute on Aging,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,114548,155994,0
1662,NIH National Institute on Aging,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,3417112,3944641,142649
1663,NIH National Institute on Aging,Vice Chancellor - Research,Academic Research Units,IPSR Institute for Personality & Social Research,Federal,26786,40230,0
1664,NIH National Institute on Alcohol Abuse & Alcoholism,Colleges,CNR College of Natural Resources,Nutritional Science & Toxicology,Federal,-23718,-10146,-10124
1665,NIH National Institute on Alcohol Abuse & Alcoholism,Schools,School of Public Health,Null,Federal,-275000,0,0
1666,NIH National Institute on Alcohol Abuse & Alcoholism,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,-136808,-20528,1762117
1667,NIH National Institute on Alcohol Abuse & Alcoholism,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,168198
1668,NIH National Institute on Alcohol Abuse & Alcoholism,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,-31850,0,49999
1669,NIH National Institute on Deafness and Other Communication Disorders,L&S College of Letters & Sciences,Division of Social Sciences,Linguistics,Federal,-8661,0,0
1670,NIH National Institute on Deafness and Other Communication Disorders,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,0,154662,-104564
1671,NIH National Institute on Deafness and Other Communication Disorders,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,1611194,63531,-3122
1672,NIH National Institute on Deafness and Other Communication Disorders,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,519488,276,0
1673,NIH National Institute on Drug Abuse,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,1347799,-4599,-24894
1674,NIH National Institute on Drug Abuse,Schools,School of Public Health,Null,Federal,705063,0,-3533
1675,NIH National Institute on Drug Abuse,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,2787524,141506,-6560
1676,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,3363685,-10187,544768
1677,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Academic Research Units,IHD Institute of Human Development,Federal,36121,-5859,0
1678,NIH National Institute on Drug Abuse,Vice Chancellor - Research,Vice Chancellor for Research ORUs,IBER Institute of Business & Economic Research,Federal,1857704,0,-6265
1679,NIH National Institutes of Health - Miscellaneous,Colleges,CNR College of Natural Resources,Plant & Microbial Biology Department,Federal,92205,0,0
1680,NIH National Institutes of Health - Miscellaneous,Colleges,College of Chemistry,Chemistry Department,Federal,1280060,110388,0
1681,NIH National Institutes of Health - Miscellaneous,Colleges,College of Engineering,Mechanical Engineering,Federal,35229,0,0
1682,NIH National Institutes of Health - Miscellaneous,L&S College of Letters & Sciences,Division of Social Sciences,Psychology,Federal,371844,0,363207
1683,NIH National Institutes of Health - Miscellaneous,L&S College of Letters & Sciences,L&S Biological Sciences,IB Integrative Biology,Federal,148518,537636,0
1684,NIH National Institutes of Health - Miscellaneous,L&S College of Letters & Sciences,L&S Biological Sciences,MCB Molecular & Cell Biology,Federal,18223903,1917675,1766775
1685,NIH National Institutes of Health - Miscellaneous,Schools,School of Public Health,"Dean's Office, Public Health",Federal,0,1505968,0
1686,NIH National Institutes of Health - Miscellaneous,Schools,School of Public Health,SPH Divisional Rsrch and Cntrs,Federal,168348,0,0
1687,NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Federal,0,1097895,0
1688,NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,VC Res Other Research Units,Center of Evaluation for Global Action,Federal,0,409528,0
1689,NIH National Institutes of Health - Miscellaneous,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,1234563,2462637,176545
1690,NIH National Library of Medicine,Vice Chancellor - Research,VC Res Other Research Units,The California Institute for Quantitative Biosciences (QB3),Federal,0,0,1516560
1691,NIH Office of the Director,Colleges,CNR College of Natural Resources,Null,Federal,600000,0,0
1692,NIH Office of the Director,Colleges,College of Chemistry,Chemistry Department,Federal,0,0,0
