Sponsor Class,Sponsor Category,Sponsor Type,Sponsor Code,Sponsor,Sponsor Acronym
Not for Profit,Foundations & Charities,USA Foundations & Charities,4995,Mechanical Contracting Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4859,Koppaka Family Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4860,Equal Access,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4160,Larry L. Hillblom Foundation,LLHF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8806,Mayo Foundation for Medical Education & Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4842,Ludy Family Foundaiton,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5819,Acterra (Action for a Sustainable Earth),
Not for Profit,Foundations & Charities,USA Foundations & Charities,4665,Comer Science and Education Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5336,Joan's Legacy,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4607,Lumina Foundation for Education,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3927,Kennedy Center for the Performing Arts,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5559,Clinica de Salud del Valle de Salinas,CSVS
Not for Profit,Foundations & Charities,USA Foundations & Charities,2135,David B. Gold Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5344,Community Pharmacy Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5413,Mark and Carol Hyman Fund,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5677,Foundation for the People of Burma,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5288,American Center for International Labor Solidarity,
Not for Profit,Foundations & Charities,USA Foundations & Charities,5287,National Alliance for Media Arts and Culture,NAMAC
Not for Profit,Foundations & Charities,USA Foundations & Charities,5147,James B. Pendleton Charitable Trust,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4951,Resources Legacy Fund Foundation (Incl. RLF),
Not for Profit,Foundations & Charities,USA Foundations & Charities,4881,Rose Foundation for Communities and the Environment,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2128,Doris Duke Charitable Foundation,DDCF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8741,Levi Strauss Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2167,Freeman Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4187,Waitt Family Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4184,Canon National Parks Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4170,American Academy Optometry,AAO
Not for Profit,Foundations & Charities,USA Foundations & Charities,3082,Heart and Stroke Foundation of Canada,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3187,Fund for Astrophysical Research Incorporated,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4072,Starbucks Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4046,Golden State Warriors Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2895,Noyce Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,4019,"Philanthropic Collaborative, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,4028,Goldman Sachs Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3954,Gordon and Betty Moore Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8245,Carl Gellert and Celia Berta Gellert Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3853,Flatiron Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3809,Flora Family Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3797,SBC Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3771,"Turner Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,2667,Ellison Medical Foundation,EMF
Not for Profit,Foundations & Charities,USA Foundations & Charities,3766,Silver Lining Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3676,City CarShare,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3259,Kapor Center for Social Impact,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3621,Corporation for Supportive Housing,CSH
Not for Profit,Foundations & Charities,USA Foundations & Charities,3579,"The Fan Fox and Leslie R Samuels Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,3563,Community Foundation Serving Boulder County,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3243,Bill & Melinda Gates Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3504,Steven & Michele Kirsch Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2882,Porter Beach Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3432,Golden Gate National Parks Assocation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3426,Blakemore Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3410,LeDucq Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3394,National Humanities Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3379,Wang Family Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3343,Simpson Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3078,Lisa and Douglas Goldman Fund,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3244,Barbro Osher Pro Suecia Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3252,Sandler Family Supporting Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3186,Sarlo Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,50,A.L. Mailman Family Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,3056,Center for Theology and the Natural Science,CTNS
Not for Profit,Foundations & Charities,USA Foundations & Charities,2778,National Youth Leadership Council,NYLC
Not for Profit,Foundations & Charities,USA Foundations & Charities,2845,"Spunk Fund, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,2819,McKay Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2423,Susan Love MD Breast Cancer Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2729,National Film Preservation Foundation,NFPF
Not for Profit,Foundations & Charities,USA Foundations & Charities,2720,Lewis Anthony Dexter Trust,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2479,Catholic Healthcare West,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2571,National Park Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2601,Unity Council (Frmly Spanish Speaking Unity Council),
Not for Profit,Foundations & Charities,USA Foundations & Charities,549,Annie E. Casey Foundation,AECF
Not for Profit,Foundations & Charities,USA Foundations & Charities,489,Trust for Mutual Understanding,TMU
Not for Profit,Foundations & Charities,USA Foundations & Charities,482,United States - Japan Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,453,California Tamarack Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,373,"Samuel Roberts Noble Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,263,"Ruth and Milton Steinbach Fund, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,1483,Oxnard Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7287,Giles W. & Elise G. Mead Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7285,Flintridge Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7271,Amateur Athletic Foundation of Los Angeles,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7263,Benton Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7237,R.C. Baker Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7226,Brookdale Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7212,Del E. Webb Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7179,Echoing Green Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2130,Arthur Vining Davis Foundations,AVDF
Not for Profit,Foundations & Charities,USA Foundations & Charities,2044,"Lois and Irving Blum Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,2024,John S and James L Knight Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2022,Mars Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1994,"Chatlos Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,1881,Ewing Marion Kauffman Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1844,American Farmland Trust,AFT
Not for Profit,Foundations & Charities,USA Foundations & Charities,1725,Bernice Barbour Foundation Inc.,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1722,Ford Memorial Institute Inc.,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1699,Scott B Appleby Fdn C/O Crestar Bank,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1600,Foundations of the Milken Families,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1552,Colin Higgins Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1546,Joyce Mertz-Gilmore Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1545,"Allen Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,1536,Arthur P. Pratt and Jeanette Gladys Pratt Mem Fdn,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1530,Wallace Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1526,James Irvine Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1513,Joseph P Kennedy Jr Foundation,JPKF
Not for Profit,Foundations & Charities,USA Foundations & Charities,7310,"Wallace Genetic Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8236,Camille & Henry Dreyfus Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8212,California Foundation for Biochemistry Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8210,Anne P. Lederer Research Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8206,California Community Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8187,Bush Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8107,Andrew W Mellon Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8105,Andrew Norman Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8020,Alfred P. Sloan Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8003,Graham Foundation for Advanced Studies in Fine Art,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8002,Ahmanson Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7938,Richard and Rhoda Goldman Fund (incl Foundation),
Not for Profit,Foundations & Charities,USA Foundations & Charities,7916,Louis R. Lurie Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7849,Marisla Foundation (Formerly Homeland Fdn),
Not for Profit,Foundations & Charities,USA Foundations & Charities,7822,Eppley Foundation for Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7788,E.L. Cord Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7747,Joyce Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7729,Lois & Samuel J. Silberman Fund,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7662,Brain Trauma Fdn,BTF
Not for Profit,Foundations & Charities,USA Foundations & Charities,7615,A-T Medical Research Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7609,National Physical Science Consortium,NPSC
Not for Profit,Foundations & Charities,USA Foundations & Charities,7607,John Merck Fund,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7597,Anna & Harry Borun Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7560,Whittier Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7498,Starr Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7383,Lannan Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8251,Carnegie Fdn for Advancement of Teaching,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8536,Harry Frank Guggenheim Foundation,HFG
Not for Profit,Foundations & Charities,USA Foundations & Charities,8525,A.P. Giannini Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8517,German Marshall Fund of the United States,GMT
Not for Profit,Foundations & Charities,USA Foundations & Charities,8509,Georges Lurcy Charitable & Educational Trust,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8484,Gannett Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8479,Flinn Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8473,"Fred C. Gloeckner Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8464,Ford Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8460,Field Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8456,Fannie and John Hertz Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8452,van L苔ben Sels/Rembe Rock Foundation,VLSRR
Not for Profit,Foundations & Charities,USA Foundations & Charities,8451,"Evelyn and Walter Haas, Jr. Fund",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8443,"Esther A. and Joseph Klingenstein Fund, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8430,Elsa U. Pardee Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8415,Edna McConnell Clark Foundation,EMCF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8414,Educational Foundation of America,EFA
Not for Profit,Foundations & Charities,USA Foundations & Charities,8403,Earhart Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8388,Doherty Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8360,Danforth Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8310,Commonwealth Fund,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8305,Columbia Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8278,Goldman Philanthropic Partnerships,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8267,Charles Stewart Mott Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8265,Charles F Kettering Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8252,Carthage Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8542,Hazen Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8539,Gustavus and Louise Pfeiffer Research Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8755,Lilly Endowment Inc.,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8733,Lalor Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8731,"J.M. McDonald Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8728,L.J. and Mary Skaggs Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8724,Kroc Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8722,Koret Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8715,Kresge Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8698,"Josiah Macy, Jr. Foundation",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8692,Robert Wood Johnson Foundation,RWJF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8687,John Simon Guggenheim Memorial Foundation,GF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8683,"John M. Olin Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8679,John Randolph & Dora Haynes Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8677,John D and Catherine T MacArthur Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8672,John & Mary Markle Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8671,Janss Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8669,"Jessie Smith Noyes Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8664,Jane Coffin Childs Memorial Fund for Medical Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8585,Fannie Rippel Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8556,Herman Frasch Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8550,Henry P. Kendall Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,8548,Henry J Kaiser Family Foundation,KFF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8546,Helen Hay Whitney Foundation,HHWF
Not for Profit,Foundations & Charities,USA Foundations & Charities,8545,"Helena Rubenstein Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,8760,Long Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9060,Russell Sage Foundation,RSF
Not for Profit,Foundations & Charities,USA Foundations & Charities,9056,Rosenberg Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9046,Rockefeller Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9042,Robert Ellis Simon Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9041,"Robert J. Kleberg, Jr. & Helen C. Kleberg Fund",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9015,Ralph M. Parsons Foundation,RMPF
Not for Profit,Foundations & Charities,USA Foundations & Charities,9014,Ralph L. Smith Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1462,California Council on Science and Technology,CCST
Not for Profit,Foundations & Charities,USA Foundations & Charities,2590,Planetary Society,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2545,Northwestern Health Care Network,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2543,Mercy Health Services,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2541,Intermountain Health Care Inc.,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2540,Fairview Health Services,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2502,New England Biolabs Foundation,NEBF
Not for Profit,Foundations & Charities,USA Foundations & Charities,2500,North Los Angeles County Regional Center,NLACRC
Not for Profit,Foundations & Charities,USA Foundations & Charities,2488,Tsubaki America Shrine,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2487,California Mexican-American Veterans Memorial Board,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2482,International Association for the Study of Common Property,IASC
Not for Profit,Foundations & Charities,USA Foundations & Charities,2481,Oceanwatch,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2418,"Central Valley Regional Center, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,2353,Farm Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2338,American-Italian Cancer Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2186,Mary Kay Charitable Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,2191,Engineering Information Foundation,EIF
Not for Profit,Foundations & Charities,USA Foundations & Charities,2190,California Futures Network,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1377,TBI Tissue Banks International,TBI
Not for Profit,Foundations & Charities,USA Foundations & Charities,1376,Mount St.Joseph-St.Elizabeth Family Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1374,Sega Youth Education & Health Fdn,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1370,Mono Lake Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1355,National Coalition Hispanic Health&Human Serv Orgs,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1347,Poverty & Race Research Action Council,PRRAC
Not for Profit,Foundations & Charities,USA Foundations & Charities,1787,United States-Mexico Foundation for Science,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1771,Compton Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1769,"La Clinica de la Raza, Fruitvale Health Project",
Not for Profit,Foundations & Charities,USA Foundations & Charities,1764,Point Blue Conservation Science,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1760,"Arthur Ashe Foundation for the Defeat of Aids, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,1759,Zoological Society of Milwaukee County,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1738,National Assn of State Mental Health Program Directors,NASMHPD
Not for Profit,Foundations & Charities,USA Foundations & Charities,1735,Burntside Charitable Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1734,Aids Community Research Consortium,ACRC
Not for Profit,Foundations & Charities,USA Foundations & Charities,1732,"Public Health Foundation Enterprises, Inc.",PHFE
Not for Profit,Foundations & Charities,USA Foundations & Charities,1731,National Organization for Hearing Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1720,Didi Hirsch Community Health Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1719,State Historical Society of Wisconsin,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1714,Children's Hospital of Philadelphia,CHOP
Not for Profit,Foundations & Charities,USA Foundations & Charities,1710,French Foundation for Medical Research & Education,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1709,A-T Children's Project,
Not for Profit,Foundations & Charities,USA Foundations & Charities,1829,National Psoriasis Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7121,Lincoln Center for the Performing Arts,
Not for Profit,Foundations & Charities,USA Foundations & Charities,7071,Wildlife Conservation Society,WCS
Not for Profit,Foundations & Charities,USA Foundations & Charities,7017,Ventura County Hospital Medical Research Foundatio,
Not for Profit,Foundations & Charities,USA Foundations & Charities,6979,San Diego Urban League,
Not for Profit,Foundations & Charities,USA Foundations & Charities,6912,National Council for Eurasian & East European Research,NCEEER
Not for Profit,Foundations & Charities,USA Foundations & Charities,6888,Linda Vista Health Care Center,LVHCC
Not for Profit,Foundations & Charities,USA Foundations & Charities,9220,Tuberculosis and Respiratory Disease Association,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9212,Transportation Opportunity Program Inc.,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9191,System Development Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9178,Suicide Prevention Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9169,National Kidney Foundation,NKF
Not for Profit,Foundations & Charities,USA Foundations & Charities,9157,Southwest Foundation for Research in Education,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9155,Speech Communications Research Lab,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9368,Vanguard Public Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9446,Sickle Cell Anemia Educ & Info Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9443,American Home Economics Association Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9442,Children's Hospital and Research Center at Oakland,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9441,"American Assn of Medical Milk Commissions, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9440,American Physiological Society,APS
Not for Profit,Foundations & Charities,USA Foundations & Charities,9434,Santa Monica Hospital Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9431,American Society for Gastrointestinal Endoscopy,ASGE
Not for Profit,Foundations & Charities,USA Foundations & Charities,9429,G. Harold & Leila Y. Mathers Charitable Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9427,Art Museum Assn,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9426,American Soc Hosp Pharmacists Res and Ed Fdn Inc.,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9422,SW Regional Lab for Educational Research in Educat,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9418,United Parkinson Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9417,"Paralized Vets of America, Spinal Cord Res Fdn",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9415,United States Olympic Committee,USOC
Not for Profit,Foundations & Charities,USA Foundations & Charities,9412,Stallone Fund for Autism Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9393,Retirement Research Foundation,RRF
Not for Profit,Foundations & Charities,USA Foundations & Charities,9392,Retinitis Pigmentosa International,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9388,Society for Pediatric Research,SPR
Not for Profit,Foundations & Charities,USA Foundations & Charities,9387,"Urban Indian Health Board, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9386,Norman Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9379,National Reye's Syndrome Foundation,NRSF
Not for Profit,Foundations & Charities,USA Foundations & Charities,9378,Research Foundation for Mental Hygiene,RFMH
Not for Profit,Foundations & Charities,USA Foundations & Charities,9370,Western Dialysis Transplant Society,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9450,Institute for the Study of World Politics,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9537,Hoover Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9534,California Injury Research Associates,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9530,Sacramento Diabetes Association,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9521,Heart Research Foundation of Sacramento,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9518,Sierra Health Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9513,American Heart Assn (San Francisco Chapter),
Not for Profit,Foundations & Charities,USA Foundations & Charities,9506,Bertha A. Sklar Trust,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9504,Community Health Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9500,Public Health Institute,PHI
Not for Profit,Foundations & Charities,USA Foundations & Charities,9494,Delta Society,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9490,Ralph K. Davies Medical Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9489,Conrad N. Hilton Foundation,CNHF
Not for Profit,Foundations & Charities,USA Foundations & Charities,9488,Spina Bifida Association of America,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9484,California Medical Education & Research Fdn,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9483,Lincoln Institute of Land Policy,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9480,"Lester I. Conrad Research Fdn, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9475,Institute of Mathematical Statistics,IMS
Not for Profit,Foundations & Charities,USA Foundations & Charities,9472,International Life Science Institute,ILSI
Not for Profit,Foundations & Charities,USA Foundations & Charities,9465,Ichinose Wellness Research Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9458,"Health Research, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9456,Diabetes Research & Education Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9544,Texas Heart Institute,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9631,Ireland Fund,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9629,"Children's Liver Foundation, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9628,Peralta Cancer Research Institute,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9626,Brigham and Women's Hospital,BWH
Not for Profit,Foundations & Charities,USA Foundations & Charities,9615,Alfred E. Mann Foundation for Scientific Research,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9613,Vinnell Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9612,Kuakini Medical Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9608,"American Horse Shows Association, Inc.",
Not for Profit,Foundations & Charities,USA Foundations & Charities,9606,American Water Works Association Foundation (AWWA),AWWA
Not for Profit,Foundations & Charities,USA Foundations & Charities,9604,National Huntington's Disease Association,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9602,Samuel H. Kress Foundation,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9600,Edgewood Children's Center,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9595,Neurosciences Institute,NSI
Not for Profit,Foundations & Charities,USA Foundations & Charities,9583,St. Lukes-Roosevelt Institute for Health Sciences,
Not for Profit,Foundations & Charities,USA Foundations & Charities,9582,Edna Bailey Sussman Fund,
